tier,Checrouit,Mt Favre,Lac Combal,Chavannes,St Bernard,BSM,F. Platte,Passeur,Roselend,La Gittaz,2 Nants,Col Joly,Contamines,Col Tricot,Bellevue,Houches,Finish
22h,1:06,1:57,2:25,3:17,5:21,7:03,9:06,10:43,11:27,13:12,14:03,15:22,16:49,19:13,20:12,20:57,22:02
23h,1:05,1:55,2:24,3:18,5:26,7:17,9:25,10:59,11:43,13:33,14:24,15:49,17:28,20:05,21:09,21:55,23:04
24h,1:10,2:02,2:31,3:28,5:34,7:25,9:48,11:26,12:12,14:09,15:07,16:33,18:10,20:57,22:02,22:46,23:56
25h,1:10,2:03,2:34,3:35,5:49,7:42,10:06,11:47,12:36,14:42,15:40,17:17,19:07,21:55,23:02,23:53,25:07
26h,1:14,2:12,2:44,3:49,6:03,8:01,10:31,12:11,13:01,15:17,16:13,17:52,19:45,22:44,23:51,24:43,25:59
27h,1:13,2:10,2:43,3:46,6:10,8:13,10:47,12:32,13:25,15:52,16:57,18:41,20:47,23:48,25:01,25:53,27:05
28h,1:15,2:19,2:50,3:54,6:23,8:33,11:09,13:04,14:03,16:31,17:41,19:29,21:48,24:48,25:56,26:43,27:57
29h,1:16,2:19,2:53,4:02,6:34,8:47,11:29,13:24,14:29,17:00,18:10,20:08,22:34,25:45,26:51,27:41,29:01
30h,1:17,2:21,3:00,4:12,6:44,9:01,11:57,13:53,15:03,17:43,19:02,21:00,23:28,26:37,27:47,28:40,29:56
31h,1:20,2:30,3:07,4:25,7:04,9:26,12:18,14:24,15:43,18:32,19:53,21:59,24:26,27:30,28:41,29:38,30:55
32h,1:20,2:31,3:09,4:28,7:14,9:43,12:39,14:50,16:09,19:04,20:31,22:44,25:17,28:13,29:25,30:28,31:56
33h,1:21,2:34,3:12,4:32,7:19,9:51,12:50,15:10,16:34,19:31,20:57,23:17,25:48,28:50,30:08,31:18,32:41
